section,exercise_number,exercise_text,a,b,c,d,e,f,graphic,answer,solution
"Admitere FA iulie 2002","2002.A.1.","Considerând $R \approx 8,32 \mathrm{~J} / \mathrm{mol} \cdot \mathrm{K}$, căldura specifică la volum constant a unui gaz ideal cu $\mu=32 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$ şi $\gamma=1,4$, este: ( 6 pct.)\\","$100 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$","$600 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$","$650 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$","$500 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$","$700 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$","$800 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$","N/A","c","Căldura specifică la volum constant a unui gaz ideal se poate scrie sub forma $c_{V}=\frac{C_{V}}{\mu}=\frac{R}{\mu(\gamma-1)}=650 \mathrm{~J} / \mathrm{kgK}$. Răspuns corect c.\\"
"Admitere FA iulie 2002","2002.A.2.","Un circuit oscilant format dintr-o bobină şi un condensator variabil este acordat pe lungimea de undă $\lambda_{0}$. Mărind de 4 ori capacitatea condensatorului, lungimea de undă la noua rezonanță devine: ( 6 pct.)\\","$4 \cdot \lambda_{0}$","$2 \cdot \lambda_{0}$","$\lambda_{0} / 2$","$\lambda_{0}$","$0,2 \cdot \lambda_{0}$","$\lambda_{0} / 4$","N/A","b","Lungimea de undă la rezonanță a circuitului oscilant este $\lambda_{0}=\nu T=2 \pi \nu \sqrt{L C}$, iar în cazul măririi capacității condensatorului, $\lambda_{1}=2 \pi \nu \sqrt{4 L C}=2 \lambda_{0}$. Răspuns corect b.\\"
"Admitere FA iulie 2002","2002.A.3.","Mişcarea unui corp este descrisă de ecuația $x=-2 t^{2}+4 t+4$, cu $x$ şi $t$ măsurându-se în unități SI. Viteza medie a mişcării corpului în intervalul $1 \mathrm{~s} \leq t \leq 5 \mathrm{~s}$, este: ( 6 pct.)\\","$-8 \mathrm{~m} / \mathrm{s}$","$+9 \mathrm{~m} / \mathrm{s}$","$+12 \mathrm{~m} / \mathrm{s}$","$-10,5 \mathrm{~m} / \mathrm{s}$","$-4 \mathrm{~m} / \mathrm{s}$","$-3,5 \mathrm{~m} / \mathrm{s}$","N/A","a","Poziția corpului la momentul $t_{1}=1 \mathrm{~s}$ este $x_{1}=6 \mathrm{~m}$, iar la momentul $t_{2}=5 \mathrm{~s}$ este dată de coordonata $x_{2}=-26 \mathrm{~m}$.\\ Viteza medie este egală cu $v_{m}=\frac{x_{2}-x_{1}}{t_{2}-t_{1}}=-8 \mathrm{~m} / \mathrm{s}$. Răspuns corect a.\\"
"Admitere FA iulie 2002","2002.A.4.","Intensitatea curentului alternativ care străbate un circuit serie RLC este $I_{1}=3 \mathrm{~A}$. Dacă rezistența $R$ se consideră nulă, intensitatea curentului prin circuit devine $I_{2}=5 \mathrm{~A}$. Intensitatea curentului prin circuitul RLC, aflat la rezonanță, este: (8 pct.)\\","$3,75 \mathrm{~A}$","$4 \mathrm{~A}$","$8 \mathrm{~A}$","$3 \mathrm{~A}$","$3,5 \mathrm{~A}$","$5,83 \mathrm{~A}$","N/A","a","Din expresiile intensității curentului în cele două cazuri, $I_{1}=\frac{U}{\sqrt{R^{2}+\left(\omega L-\frac{1}{\omega C}\right)^{2}}}$ şi respectiv $I_{2}=\frac{U}{\omega L-\frac{1}{\omega C}}$, rezultă expresia rezistenței electrice, $R=U \sqrt{\frac{1}{I_{1}^{2}}-\sqrt{\frac{1}{I_{2}^{2}}}}$, astfel că valoarea intensității curentului la rezonanță este egală cu:\\ $I_{\text {rez}}=\frac{U}{R}=\frac{1}{\sqrt{\frac{1}{I_{1}^{2}}-\sqrt{\frac{1}{I_{2}^{2}}}}}=3,75 \mathrm{~A}$. Răspuns corect a.\\"
"Admitere FA iulie 2002","2002.A.5.","Un gaz ideal cu exponentul adiabatic $\gamma$ efectuează transformarea descrisă de ecuația $p=\alpha V$, $\alpha$ fiind o constantă, între două stări oarecare (1) şi (2). Căldura molară a gazului în această transformare este: (8 pct.)\\","$\frac{2 R(\gamma-1)}{\gamma+1}$","$\frac{2 R}{\gamma-1}$","$\frac{3 R}{2}$","$R \gamma$","$\frac{R(\gamma+1)}{2(\gamma-1)}$","$\frac{R \gamma}{\gamma-1}$","N/A","e","Ecuația transformării se poate scrie sub forma unei politrope, $p V^{-1}=$ const., a cărui indice este $n=-1=\frac{C-C_{p}}{C-C_{V}}$, de unde căldura molară la gazului în această transformare este egală cu:\\ $C=\frac{1}{2}\left(C_{V}+C_{p}\right)=\frac{1}{2}\left(\frac{R}{\gamma-1}+\frac{\gamma R}{\gamma-1}\right)=\frac{R(\gamma+1)}{2(\gamma-1)}$. Răspuns corect e.\\"
"Admitere FA iulie 2002","2002.A.6.","Un punct material oscilează după legea $y=A \sin (\pi t+\pi / 4)$ (în m). Raportul dintre energiile cinetică şi potențială ale punctului material la momentul $t_{1}=T / 4$ de la pornire, este: ( 8 pct.)\\","$0,5$","$4$","$3$","$0,1$","$1$","$0$","N/A","e","Raportul energiilor cinetică şi potențială la momentul $t_{1}=\frac{T}{4}=\frac{1}{2} \mathrm{~s}$ este egal cu $\frac{E_{c}}{E_{p}}=\operatorname{tg}^{2}\left(\frac{\pi}{2}+\frac{\pi}{4}\right)=1$, unde perioada $T=\frac{2 \pi}{\omega}=2 \mathrm{~s}$. Răspuns corect e.\\"
"Admitere FA iulie 2002","2002.A.7.","Dacă energia unui condensator plan încărcat este $C U^{2} / 2$, densitatea de energie a câmpului electric în dielectricul dintre armăturile condensatorului este: ( 4 pct.)\\","$E^{2} / 2 \varepsilon$","$\mu H^{2} / 2$","$\varepsilon E^{2}$","$\varepsilon_{0} E / 2 \varepsilon$","$\varepsilon E / H$","$\varepsilon E^{2} / 2$","N/A","f","Densitatea de energie electrică înmagazinată în dielectricul condensatorului este $w_{el}=\frac{W_{el}}{V}=\frac{\varepsilon S U^{2}}{2 d^{2} S}=\frac{1}{2} \varepsilon E^{2}$. Răspuns corect f.\\"
"Admitere FA iulie 2002","2002.A.8.","Masa molară a amestecului format din $60 \mathrm{~g}$ de hidrogen ($\mu_{H_{2}}=2 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$) şi $120 \mathrm{~g}$ de dioxid de carbon ($\mu_{\mathrm{CO}_{2}}=44 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$) este: ( 4 pct.)\\","$5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$8 \cdot 10^{-4} \mathrm{~kg} / \mathrm{mol}$","$6 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$5,2 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$11 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$5,5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","N/A","f","Masa molară a amestecului de gaze este egală cu:\\ $\mu_{am}=\frac{m_{1}+m_{2}}{v_{1}+v_{2}}=\frac{m_{1}+m_{2}}{\frac{m_{1}}{\mu_{1}}+\frac{m_{2}}{\mu_{2}}}=\frac{\mu_{1} \mu_{2}\left(m_{1}+m_{2}\right)}{m_{1} \mu_{2}+m_{2} \mu_{1}}=5,5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$.\\ Răspuns corect f.\\"
"Admitere FA iulie 2002","2002.A.9.","Trei baterii identice, legate în serie, alimentează un rezistor cu rezistența de $60 \Omega$. Dacă se scurtcircuitează una dintre baterii, intensitatea curentului electric scade de 1,4 ori. Rezistența internă a fiecărei baterii, este: (4 pct.)\\","$15 \Omega$","$10 \Omega$","$1 \Omega$","$5 \Omega$","$16 \Omega$","$6 \Omega$","N/A","d","Din legea lui Ohm în cele două cazuri, $I_{1}=\frac{3 E}{R+3 r}$ şi respectiv $I_{2}=\frac{I_{1}}{1,4}=\frac{2 E}{R+2 r}$ rezultă pentru rezistența internă valoarea $r=5 \Omega$. Răspuns corect d.\\"
"Admitere FA iulie 2002","2002.A.10.","În cazul unui motor care funcționează după un ciclu Carnot și absoarbe într-un ciclu căldura $Q_{1}=2500 \mathrm{~J}$ de la sursa caldă a cărei temperatură este $t_{1}=227^{\circ} \mathrm{C}$, temperatura sursei reci fiind $t_{2}=27^{\circ} \mathrm{C}$, căldura $\left|Q_{2}\right|$ cedată sursei reci, este: (4 pct.)\\","$1200 \mathrm{~J}$","$1 \mathrm{~kJ}$","$500 \mathrm{~J}$","$1500 \mathrm{~J}$","$0,4 \mathrm{~MJ}$","$2000 \mathrm{~J}$","N/A","d","Într-un ciclu Carnot, $\frac{Q_{1}}{\left|Q_{2}\right|}=\frac{T_{1}}{T_{2}}$, de unde $\left|Q_{2}\right|=1500 \mathrm{~J}$. Răspuns corect d.\\"
